cnpj,name,year,assets,income,debt,family_firm,contributions,soe,sector,age,ordinary_shares_free_float,ordinary_shares_natural,ordinary_concentration_max,has_preferential_shares,contribs_parties,state_owned,foreign,financial,infrastructure
60664810000174,AÇOS VILLARES SA,2010,,,,0,0,0,Metalurgia e Siderurgia,66,0.524355168234333,0.474689147251922,0.292201836113755,0,"",0,0,0,0
10345009000198,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2010,31528000,,51864000,0,0,0,Emp. Adm. Part. - Extração Mineral,2,0.00100676042556338,0.908985475238133,0.908985475238133,0,"",0,1,0,0
10345009000198,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2012,41004000,9129000,59390000,0,0,0,Emp. Adm. Part. - Extração Mineral,4,0.00146221240602912,0.908985475238133,0.908985475238133,0,"",0,1,0,0
10345009000198,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2014,1845000,3838000,22633000,0,0,0,Emp. Adm. Part. - Extração Mineral,6,0.102153763187082,0.897846236812918,0.897846236812918,0,"",0,1,0,0
10345009000198,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2016,2751000,,6983000,0,,0,Farmacêutico e Higiene,8,0.236869922214562,0.763130077785438,0.619963536340289,0,"",0,1,0,0
10345009000198,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,2018,421000,,15005000,0,,0,Farmacêutico e Higiene,10,0.243481406786398,0.756518593213602,0.756518593213602,0,"",0,1,0,0
01917705000130,AES ELPA SA,2010,12343600000,9785400000,7694000000,0,0,0,Emp. Adm. Part. - Energia Elétrica,13,0.0174303957416173,0,0.982569604258383,0,"",0,0,0,1
01917705000130,AES ELPA SA,2012,11228000000,9959200000,6931300000,0,0,0,Emp. Adm. Part. - Energia Elétrica,15,0.0177345269186346,0,0.982569580835592,0,"",0,0,0,1
01917705000130,AES ELPA SA,2014,12231380000,10557279000,9042898000,0,0,0,Emp. Adm. Part. - Energia Elétrica,17,0.0174302824101896,0,0.98256971758981,0,"",0,0,0,1
01917705000130,AES ELPA SA,2016,50040000,,33824000,0,,0,Emp. Adm. Part. - Energia Elétrica,19,0.00606300562574481,0,0.994216818732034,0,"",0,0,0,1
01917705000130,AES ELPA SA,2018,,,,0,,0,Emp. Adm. Part. - Energia Elétrica,21,0.00611045436381383,0,0.994216829376285,0,"",0,0,0,1
04128563000110,AES TIETÊ ENERGIA S.A,2010,18215100000,10017000000,10780100000,0,0,0,Emp. Adm. Part. - Energia Elétrica,10,0,0,0.500000000833333,1,"",0,0,0,1
04128563000110,AES TIETÊ ENERGIA S.A,2012,16440600000,10099800000,9096600000,0,0,0,Emp. Adm. Part. - Energia Elétrica,12,0.000309502512756432,0,0.500000000833333,1,"",0,0,0,1
04128563000110,AES TIETÊ ENERGIA S.A,2014,17673814000,11765343000,11770839000,0,0,0,Emp. Adm. Part. - Energia Elétrica,14,0.0213422408684872,0,0.500000000833333,1,"",0,0,0,1
04128563000110,AES TIETÊ ENERGIA S.A,2016,4099579000,1561348000,2521480000,0,,0,Emp. Adm. Part. - Energia Elétrica,16,0.200533032495189,0,0.615718328298545,1,"",0,0,0,1
04128563000110,AES TIETÊ ENERGIA S.A,2018,7602605000,1923533000,6079131000,0,,0,Emp. Adm. Part. - Energia Elétrica,18,0.200591815667484,0,0.615718328298545,1,"",0,0,0,1
02998609000127,AES TIETE SA,2010,4210700000,1754300000,2229700000,0,0,0,Energia Elétrica,11,0.285766342231133,0,0.713471310575524,1,"",0,0,0,1
02998609000127,AES TIETE SA,2012,3944300000,2112400000,2136000000,0,0,0,Energia Elétrica,13,0.4961531069333,0,0.713471306962301,1,"",0,0,0,1
02998609000127,AES TIETE SA,2014,4250450000,3205007000,2885962000,0,0,0,Energia Elétrica,15,0.285766342231133,0,0.713471310575524,1,"",0,0,0,1
07620094000140,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,2010,50363446.28,20378308.64,9572557.55,0,0,0,Energia Elétrica,5,0.623050006123344,0,0.897694797771839,1,"",0,0,0,1
07620094000140,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,2012,50598549.99,23521173.46,5433394.94000001,0,0,0,Energia Elétrica,7,0.824122979995298,0,0.897694797771839,1,"",0,0,0,1
07620094000140,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,2014,47192000,25406000,7731000,0,0,0,Energia Elétrica,9,0.928962417935245,0,0.89769397438404,1,"",0,0,0,1
07620094000140,AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,2016,45329000,35395000,2668000,0,,0,Energia Elétrica,11,0.929908416143134,0,0.897694614796773,1,"",0,0,0,1
10338320000100,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,2010,84977670.09,31774976.24,8632426.49000001,0,0,0,Energia Elétrica,2,0.817883838459118,0,0.878432583494889,0,"",0,0,0,1
10338320000100,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,2012,9321440.9,28247754.9,-70346932.68,0,0,0,Energia Elétrica,4,0.951701141083211,0,0.87843255179148,0,"",0,0,0,1
10338320000100,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,2014,83910000,34643000,7260000,0,0,0,Energia Elétrica,6,0.973260829094459,0,0.878432594186593,0,"",0,0,0,1
10338320000100,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,2016,87616000,31353000,11410000,0,,0,Energia Elétrica,8,0.962978031995717,0,0.878432594186593,0,"",0,0,0,1
10338320000100,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,2018,206198774.64,33684682,10445194.7,0,,0,Energia Elétrica,10,0.90554958694126,0,0.878432594186593,0,"",0,0,0,1
02217319000107,ALEF SA,2010,124348,,30,0,0,0,Emp. Adm. Part. - Sem Setor Principal,13,1,0,1,0,"",0,0,0,0
02217319000107,ALEF SA,2012,93350.65,,1592.04999999999,0,0,0,Emp. Adm. Part. - Sem Setor Principal,15,0.000000113318727808416,0,0.999999886681272,0,"",0,0,0,0
02217319000107,ALEF SA,2014,19373.69,,37.0299999999988,0,0,0,Emp. Adm. Part. - Sem Setor Principal,17,0.0000000674551423303503,0,0.999999932544858,0,"",0,0,0,0
02217319000107,ALEF SA,2016,17940,5492,155,0,,0,Emp. Adm. Part. - Sem Setor Principal,19,0.0000000548706880784285,0,0.999999945129312,0,"",0,0,0,0
02217319000107,ALEF SA,2018,178.82,2820,-17504.18,0,,0,Emp. Adm. Part. - Sem Setor Principal,21,0.000000030403145712143,0,0.999999969596854,0,"",0,0,0,0
17167396000169,ALFA HOLDINGS SA,2010,3511318000,379959000,2906355000,0,0,0,Emp. Adm. Part. - Intermediação Financeira,51,0.0715941056738624,0.928405894326137,0.888528448632294,1,"",0,0,1,0
17167396000169,ALFA HOLDINGS SA,2012,3343524000,393874000,2639348000,0,0,0,Emp. Adm. Part. - Intermediação Financeira,53,0.0611202073177579,0.938879792682242,0.890678752711923,1,"",0,0,1,0
17167396000169,ALFA HOLDINGS SA,2014,783632000,746000,6032000,0,0,0,Emp. Adm. Part. - Intermediação Financeira,55,0.0498997185602301,0.95010028143977,0.89067925258552,1,"",0,0,1,0
17167396000169,ALFA HOLDINGS SA,2016,889310000,840000,6408000,0,,0,Emp. Adm. Part. - Intermediação Financeira,57,0.0491744154833684,0.950825584516632,0.89140456917503,1,"",0,0,1,0
17167396000169,ALFA HOLDINGS SA,2018,967257000,1413000,7516000,0,,0,Emp. Adm. Part. - Intermediação Financeira,59,0.0488091015878508,0.951190898412149,0.891767933812911,1,"",0,0,1,0
06082980000103,ALIANSCE SHOPPING CENTERS S/A,2010,2175575921.54,191125734.06,937039104.55,0,390000,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",7,0.687097504053714,0.00430783101141294,0.31435661883725,0,"",0,0,0,0
06082980000103,ALIANSCE SHOPPING CENTERS S/A,2012,3940664952.98,237631132.88,2075222967.28,0,275000,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",9,0.77817504047682,0.108072648369054,0.275877244671801,0,"",0,0,0,0
06082980000103,ALIANSCE SHOPPING CENTERS S/A,2014,4114548876.04,473894765.61,2344894197.27,0,1600000,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",11,0.550195278268024,0.224907374083696,0.269408423970514,0,"",0,0,0,0
06082980000103,ALIANSCE SHOPPING CENTERS S/A,2016,4896894615.82,487550930.05,2395581225.72,0,,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",13,0.720674568541907,0.117878052826064,0.381943602387068,0,"",0,0,0,0
06082980000103,ALIANSCE SHOPPING CENTERS S/A,2018,4744122888.87,508430913.77,2138185065.74,1,,0,Emp. Adm. Part. - Comércio (Atacado e Varejo),15,0.734451411768416,0.111645610179658,0.381943602387068,0,"",0,0,0,0
02783425000140,ALIUM PARTICIPAÇÕES SA,2010,65000,,0,0,0,0,Emp. Adm. Part. - Sem Setor Principal,12,0.0180080225250177,0.640986910823959,0.999991467685994,0,"",0,0,0,0
08648295000119,ALLIS PARTICIPAÇÕES S.A.,2010,184680000,307754000,137884000,0,0,0,Emp. Adm. Part. - Sem Setor Principal,4,0.774999908294468,0.225000091705532,0.753413438010033,0,"",0,0,0,0
08648295000119,ALLIS PARTICIPAÇÕES S.A.,2012,176846718.3,230305843.54,150896661.78,0,0,0,Emp. Adm. Part. - Sem Setor Principal,6,0.77500000632452,0.22499999367548,0.753413533309604,0,"",0,0,0,0
08648295000119,ALLIS PARTICIPAÇÕES S.A.,2014,135008717.17,302197604.51,95630529.5,0,0,0,Emp. Adm. Part. - Sem Setor Principal,8,0.775559209335114,0.224440790664886,0.751541588085241,0,"",0,0,0,0
61079117000105,ALPARGATAS SA,2010,2246603000,2239156000,898530000,0,3931000,0,Têxtil e Vestuário,103,0.0972876206425714,0.867855846824665,0.66987024531401,1,"PSDB,PSB,PMDB",0,0,0,0
61079117000105,ALPARGATAS SA,2012,2740729000,3006982000,1079831000,0,3320000,0,Têxtil e Vestuário,105,0.0797294918566719,0.867948223708918,0.66987024531401,1,"PMDB,PSDB",0,0,0,0
61079117000105,ALPARGATAS SA,2014,3646568500.29,3711162178.19,1545663831.97,0,2828,0,Têxtil e Vestuário,107,0.0798913497059089,0.868213661693295,0.66987023981614,1,"PTB,PSC,PMN,PT do B",0,0,0,0
61079117000105,ALPARGATAS SA,2016,3782052069.44,4054403899.11,1716301521.66,0,,0,Têxtil e Vestuário,109,0.0378385738508071,0.93191703150163,0.857776217531308,1,"",0,0,0,0
61079117000105,ALPARGATAS SA,2018,3980105000,3904509000,1510267000,0,,0,Têxtil e Vestuário,111,0.235011913078963,0.764987980964522,0.428888107996734,1,"",0,0,0,0
11721921000160,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,2010,354070000,14253000,19581000,0,155000,0,Emp. Adm. Part. - Seguradoras e Corretoras,0,0.510032966293569,0.439966820080516,0.219981286369812,0,"",0,0,1,0
11721921000160,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,2012,805300000,227977000,301521000,0,0,0,Emp. Adm. Part. - Seguradoras e Corretoras,2,0.841643609901374,0,0.0647633525256272,0,"",0,0,1,0
11721921000160,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,2014,725206603.01,226391605.67,252773820.85,0,0,0,Emp. Adm. Part. - Seguradoras e Corretoras,4,0.539388096821369,0.0717757569586756,0.10482522785658,0,"",0,0,1,0
11721921000160,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,2016,386002262,132121302,43550441,0,,0,Emp. Adm. Part. - Seguradoras e Corretoras,6,0.509188085014042,0.185332344312714,0.179693074977778,0,"",0,0,1,0
11721921000160,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,2018,137605927.78,87584208.03,44520440.02,0,,0,Emp. Adm. Part. - Seguradoras e Corretoras,8,0.407702111432764,0.318426992748999,0.179454463619187,0,"",0,0,1,0
92859974000143,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,2014,202304870.85,99552959.62,184328994.87,1,0,0,"Máquinas, Equipamentos, Veículos e Peças",25,0,0.750544410174124,0.997931590129582,1,"",0,0,0,0
92859974000143,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,2016,108575732.91,39343706.9,126639365.01,1,,0,"Máquinas, Equipamentos, Veículos e Peças",27,0,0.775897185343634,0.994226674721193,1,"",0,0,0,0
08364948000138,ALUPAR INVESTIMENTO S/A,2012,7456055000,1258640000,4381791000,1,0,0,Emp. Adm. Part. - Energia Elétrica,6,0.11085625762714,0.818991904674678,0.929848162301819,1,"",0,0,0,1
08364948000138,ALUPAR INVESTIMENTO S/A,2014,8928171000,1474108000,5049862000,1,0,0,Emp. Adm. Part. - Energia Elétrica,8,0.187264474368217,0.740171214083054,0.840358542343859,1,"",0,0,0,1
08364948000138,ALUPAR INVESTIMENTO S/A,2016,10230001000,1553811000,5672190000,1,,0,Emp. Adm. Part. - Energia Elétrica,10,0.227786295340719,0.708769764776583,0.804706686282588,1,"",0,0,0,1
08364948000138,ALUPAR INVESTIMENTO S/A,2018,14606580000,1882909000,8344871000,1,,0,Emp. Adm. Part. - Energia Elétrica,12,0.248738229936476,0.661116925240916,0.747116017618519,1,"",0,0,0,1
24170211000130,AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,2018,,,,0,,0,Emp. Adm. Part. - Energia Elétrica,2,0.29474958958627,0.70525041041373,1,0,"",0,0,0,1
